COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
Addinsell,Leidzen,Warsaw Concerto,we+piano,feature,0001,Chappell,,
"Adler, R",,In the Driver's Seat,we,,0561,Hentz Company,,
Adler/Ross,Yoder,"""Damn Yankees""(Heart)",we,march size,0311,Frank,,
Ager,Holman,Happy Days are Here Again,we,march size,0312,Wright,,
Agostini,Bainum,"3 Trumpeters, The",we + trio,feature,0002,"Belwin, Inc.",,
"Akey, Douglas",,A Praetorius Prelude,we,,1453,Edmondson & Mc,2000/02,
Albeniz,Campbell-Watson,Tango,we,,0003,Witmark,,
Albert,Lake/Moffit,"Mexi. Shuffle, The",we,march size,0719,Almo Music Cor,,
Albinoni,Haan,Adagio,we,,1358,de Haske,2004/05,
Alexander,,"""The Southerners""(Mrch)",we,march size,0314,Barnhouse,,
Alexander,,Colossus of Columbia,we,march size,0313,Barnhouse,,
Alexander,,Olympia Hippodrome Mrch,we,march size,0315,Barnhouse,,
"Alford, H",,Merry Widow,we,march,0114,Rubank,,
"Alford, H",,"Purple Carnival, The",we,march size,0317,Schirmer,,
"Alford, K",Fennell,Colonel Bogey,we,march,1219,Boosey +Hawkes,,
"Alford, K",,Colonel Bogey on Parade,we,march,0004,Boosey +Hawkes,,
"Alford, K",Fennell,"Mad Major, The",we,march,1300,Boosey +Hawkes,,
"Alford, K",,"Standard of St. George, The",we,march size,0733,Boosey +Hawkes,,
"Alford, K",,"Thin Red Line, The",we,march size,0720,Boosey +Hawkes,,
"Alford, K",,"Vanished Army, The",we,march size,0318,Boosey +Hawkes,,
Alstyne,Teague,Whats the matter with Father,we,march size,0320,Remick,,
"Anderson, L",,A Christmas Festival,we/xmas,,1416,Mills Music,2000/02,
"Anderson, L",Anderson,Belle of the Ball,we,,1392,Belwin,FALL/93,
"Anderson, L",,Blue Tango,we,,0238,Mills,,
"Anderson, L","Edwards, M.",Bugler's Holiday,we,feature,0743,Mills,,
"Anderson, L",,Serenata,we,,0251,Mills,,
"Anderson, L",,Sleigh Ride,we/xmas,,1417,Mills Music,2000/02,
"Anderson, L",Lang,"Waltzing Cat, The",we,,0267,Mills,,
"Anderson, L",Tyra,"Waltzing Cat, The",we,march size,0692,Mills,,
"Anderson, Leroy",,Home Stretch,we,,1493,Hal Leonard,2001/03,
